"Anno" "Operatore" "MP" "Nconf" "r" "esito1" "esito2" "ripetibilità" "Giudizio"
"61" 2016 "Marchioni" "01/092 H2Oe.coli" "125978" 0.11 50 56 0.0492180226701817 "Favorevole"
"62" 2016 "Marchioni" "01/093 H2Ostre" "125978" 0.17 110 100 0.0413926851582249 "Favorevole"
"63" 2016 "Marchioni" "01/101" "71198" 0.3 890 820 0.0355761542611961 "Favorevole"
"64" 2016 "Marchioni" "01/102" "70234" 0.12 5100 4000 0.105510184769974 "Favorevole"
"65" 2016 "Marchioni" "01/110" "70234" 0.12 5300 6000 0.0538753807828543 "Favorevole"
"66" 2016 "Marchioni" "01/111" "71195" 0.22 5000 4200 0.0757207139381184 "Favorevole"
"67" 2016 "Marchioni" "01/112" "71191" 0.25 2700 2100 0.109144469425068 "Favorevole"
"68" 2016 "Marchioni" "01/142" "70258" 0.29 17000 14000 0.0843208857000359 "Favorevole"
"69" 2016 "Marchioni" "01/144" "71187" 0.1 2600 2700 0.0163904161881696 "Favorevole"
"70" 2016 "Marchioni" "01/145" "71187" 0.21 1800 1200 0.176091259055681 "Favorevole"
"71" 2016 "Marchioni" "01/171" "70234" 0.08 6300 6700 0.0267342532472448 "Favorevole"
"72" 2016 "Marchioni" "01/194" "71191" 0.04 3400 3100 0.0401172232079823 "Sfavorevole"
"73" 2017 "Ghidotti" "01/022" "293107/2" 0 150 150 0 "Favorevole"
"74" 2017 "Ghidotti" "01/054" "293141/2" 0.17 3100 2400 0.111150452122667 "Favorevole"
"75" 2017 "Ghidotti" "01/089" "293072/2" 0.28 12000 18000 0.176091259055681 "Favorevole"
"76" 2017 "Ghidotti" "01/091 22°C" "293147/2" 0.1 96 110 0.0591214521186565 "Favorevole"
"77" 2017 "Ghidotti" "01/091 36°C" "293147/2" 0.18 130 170 0.116505569071437 "Favorevole"
"78" 2017 "Ghidotti" "01/092 H2Ocolif" "293147/2" 0.05 26 29 0.0474246499281381 "Favorevole"
"79" 2017 "Ghidotti" "01/092 H2Oe.coli" "293147/2" 0.11 33 28 0.0713559085356683 "Favorevole"
"80" 2017 "Ghidotti" "01/093 H2Ostre" "293147/2" 0.17 12 17 0.151267675330649 "Favorevole"
"81" 2017 "Ghidotti" "01/101" "293100/2" 0.3 390 520 0.1249387366083 "Favorevole"
"82" 2017 "Ghidotti" "01/102" "121693/2" 0.12 27000 33000 0.0871501757189002 "Favorevole"
"83" 2017 "Ghidotti" "01/110" "121693/2" 0.12 27000 32000 0.0737862141609194 "Favorevole"
"84" 2017 "Ghidotti" "01/111" "293072/2" 0.22 10000 16000 0.204119982655925 "Favorevole"
"85" 2017 "Ghidotti" "01/112" "121693/2" 0.25 650000 740000 0.0563183630881205 "Favorevole"
"86" 2017 "Ghidotti" "01/142" "293115/2" 0.29 24000 30000 0.0969100130080562 "Favorevole"
"87" 2017 "Ghidotti" "01/144" "293130/2" 0.1 8000 10000 0.0969100130080562 "Favorevole"
"88" 2017 "Ghidotti" "01/145" "293130/2" 0.21 6000 9000 0.176091259055681 "Favorevole"
"89" 2017 "Ghidotti" "01/171" "121693/2" 0.08 26000 31000 0.0763883458634549 "Favorevole"
"90" 2017 "Ghidotti" "01/194" "121693/2" 0.04 630000 690000 0.0395085412836735 "Favorevole"
"91" 2017 "Marchioni" "01/022" "293107/1" 0 150 150 0 "Favorevole"
"92" 2017 "Marchioni" "01/054" "293141/1" 0.17 3200 2500 0.107209969647868 "Favorevole"
"93" 2017 "Marchioni" "01/089" "293072/1" 0.28 14000 21000 0.176091259055681 "Favorevole"
"94" 2017 "Marchioni" "01/091 22°C" "293147/1" 0.1 100 110 0.0413926851582249 "Favorevole"
"95" 2017 "Marchioni" "01/091 36°C" "293147/1" 0.18 140 170 0.0843208857000359 "Favorevole"
"96" 2017 "Marchioni" "01/092 H2Ocolif" "293147/1" 0.05 27 30 0.045757490560675 "Favorevole"
"97" 2017 "Marchioni" "01/092 H2Oe.coli" "293147/1" 0.11 36 29 0.0939045028683312 "Favorevole"
"98" 2017 "Marchioni" "01/093 H2Ostre" "293147/1" 0.17 14 16 0.0579919469776868 "Favorevole"
"99" 2017 "Marchioni" "01/101" "293100/1" 0.3 400 390 0.0109953843014634 "Favorevole"
"100" 2017 "Marchioni" "01/102" "121693/1" 0.12 28000 35000 0.0969100130080562 "Favorevole"
"101" 2017 "Marchioni" "01/110" "121693/1" 0.12 29000 34000 0.0690809191432988 "Favorevole"
"102" 2017 "Marchioni" "01/111" "293072/1" 0.22 15000 10000 0.176091259055681 "Favorevole"
"103" 2017 "Marchioni" "01/112" "121693/1" 0.25 66000 73000 0.0437789245785876 "Favorevole"
"104" 2017 "Marchioni" "01/142" "293115/1" 0.29 27000 29000 0.0310342337399696 "Favorevole"
"105" 2017 "Marchioni" "01/144" "293130/1" 0.1 10000 12000 0.0791812460476251 "Favorevole"
"106" 2017 "Marchioni" "01/145" "293130/1" 0.21 8000 11000 0.138302698166282 "Favorevole"
"107" 2017 "Marchioni" "01/171" "121693/1" 0.08 30000 36000 0.0791812460476242 "Favorevole"
"108" 2017 "Marchioni" "01/194" "121693/1" 0.04 64000 70000 0.0389180660303694 "Favorevole"
"109" 2018 "Ghidotti" "01/022" "341425" 0 15 15 0 "Favorevole"
"110" 2018 "Ghidotti" "01/054" "341399" 0.17 27000 34000 0.100115152883268 "Favorevole"
"111" 2018 "Ghidotti" "01/089" "84824" 0.28 36000 43000 0.0771659548122994 "Favorevole"
"112" 2018 "Ghidotti" "01/091 22°C" "341405" 0.1 120 140 0.0669467896306135 "Favorevole"
"113" 2018 "Ghidotti" "01/091 36°C" "341405" 0.18 170 220 0.111973759443932 "Favorevole"
"114" 2018 "Ghidotti" "01/092 H2Ocolif" "341405" 0.05 39 43 0.0424038485530873 "Favorevole"
"115" 2018 "Ghidotti" "01/092 H2Oe.coli" "341405" 0.11 32 38 0.0746336182969041 "Favorevole"
"116" 2018 "Ghidotti" "01/093 H2Ostre" "341405" 0.17 30 37 0.0910804693473326 "Favorevole"
"117" 2018 "Ghidotti" "01/101" "341379" 0.3 120 150 0.0969100130080567 "Favorevole"
"118" 2018 "Ghidotti" "01/102" "84802" 0.12 51000 46000 0.0448123444163624 "Favorevole"
"119" 2018 "Ghidotti" "01/110" "84802" 0.12 69000 77000 0.0476416344352266 "Favorevole"
"120" 2018 "Ghidotti" "01/111" "84824" 0.22 49000 39000 0.0991314730020143 "Favorevole"
"121" 2018 "Ghidotti" "01/112" "84779" 0.25 810000 870000 0.0310342337399687 "Favorevole"
"122" 2018 "Ghidotti" "01/142" "341384" 0.29 36000 29000 0.0939045028683303 "Favorevole"
"123" 2018 "Ghidotti" "01/144" "84852" 0.1 1700 2100 0.091770373355645 "Favorevole"
"124" 2018 "Ghidotti" "01/145" "84852" 0.21 1800 2200 0.0871501757189002 "Favorevole"
"125" 2018 "Ghidotti" "01/171" "84802" 0.08 49000 55000 0.0501666094657303 "Favorevole"
"126" 2018 "Ghidotti" "01/194" "84779" 0.04 750000 790000 0.0225658278987417 "Favorevole"
"127" 2018 "Marchioni" "01/022" "341425" 0 15 15 0 "Favorevole"
"128" 2018 "Marchioni" "01/054" "341399" 0.17 27000 34000 0.100115152883268 "Favorevole"
"129" 2018 "Marchioni" "01/089" "84824" 0.28 36000 43000 0.0771659548122994 "Favorevole"
"130" 2018 "Marchioni" "01/091 22°C" "341405" 0.1 120 140 0.0669467896306135 "Favorevole"
"131" 2018 "Marchioni" "01/091 36°C" "341405" 0.18 170 220 0.111973759443932 "Favorevole"
"132" 2018 "Marchioni" "01/092 H2Ocolif" "341405" 0.05 39 43 0.0424038485530873 "Favorevole"
"133" 2018 "Marchioni" "01/092 H2Oe.coli" "341405" 0.11 32 38 0.0746336182969041 "Favorevole"
"134" 2018 "Marchioni" "01/093 H2Ostre" "341405" 0.17 30 37 0.0910804693473326 "Favorevole"
"135" 2018 "Marchioni" "01/101" "341379" 0.3 120 150 0.0969100130080567 "Favorevole"
"136" 2018 "Marchioni" "01/102" "84802" 0.12 51000 46000 0.0448123444163624 "Favorevole"
"137" 2018 "Marchioni" "01/110" "84802" 0.12 69000 77000 0.0476416344352266 "Favorevole"
"138" 2018 "Marchioni" "01/111" "84824" 0.22 49000 39000 0.0991314730020143 "Favorevole"
"139" 2018 "Marchioni" "01/112" "84779" 0.25 810000 870000 0.0310342337399687 "Favorevole"
"140" 2018 "Marchioni" "01/142" "341384" 0.29 36000 29000 0.0939045028683303 "Favorevole"
"141" 2018 "Marchioni" "01/144" "84852" 0.1 1700 2100 0.091770373355645 "Favorevole"
"142" 2018 "Marchioni" "01/145" "84852" 0.21 1800 2200 0.0871501757189002 "Favorevole"
"143" 2018 "Marchioni" "01/171" "84802" 0.08 49000 55000 0.0501666094657303 "Favorevole"
"144" 2018 "Marchioni" "01/194" "84779" 0.04 750000 790000 0.0225658278987417 "Favorevole"
"145" 2019 "Marchioni" "01/054" "300000" 0.17 27000 3.4e+07 3.10011515288327 "Sfavorevole"
